n,dheap,sort,push,make
100,26313,255,457,399
200,8244,100,399,405
300,8276,110,369,372
400,8595,117,379,378
500,8831,124,381,381
600,10601,144,374,377
700,11213,142,370,373
800,11542,151,379,376
900,12167,168,388,380
1000,12870,170,383,395
1100,13375,246,411,394
1200,14623,195,411,395
1300,16207,215,418,409
1400,17470,224,423,408
1500,18472,219,428,412
1600,19262,224,438,417
1700,20399,239,449,421
1800,21516,242,447,422
1900,22250,274,450,424
2000,22889,285,462,425
2100,25652,332,503,436
2200,27240,299,509,443
2300,26962,316,506,437
2400,27829,324,515,440
2500,27919,343,521,440
2600,27914,351,528,441
2700,28394,374,525,443
2800,28304,379,526,446
2900,28537,394,526,448
3000,28911,401,532,451
3100,28765,407,527,451
3200,29164,426,540,449
3300,29108,438,531,452
3400,29381,454,535,466
3500,29381,459,537,457
3600,29177,460,535,455
3700,29381,478,543,464
3800,29133,473,546,457
3900,29270,474,547,465
4000,29442,476,553,468
4100,28591,465,530,450
4200,29912,461,528,453
4300,29644,456,527,456
4400,29811,453,524,458
4500,29891,463,526,466
4600,29692,474,530,469
4700,29873,463,527,468
4800,29935,470,531,473
4900,29786,464,529,466
5000,29902,472,531,470
5100,29806,467,530,476
5200,29594,471,523,467
5300,29765,467,533,474
5400,29616,472,529,473
5500,29763,467,530,468
5600,29856,479,532,475
5700,29706,480,532,481
5800,29599,474,528,475
5900,29714,463,527,472
6000,29967,476,537,475
6100,29798,480,539,485
6200,29729,476,529,469
6300,29954,472,544,479
6400,29949,476,536,470
6500,29747,481,534,476
6600,30078,481,534,473
6700,30067,476,534,473
6800,29844,486,530,467
6900,30133,483,532,473
7000,29811,471,531,472
7100,30106,488,531,469
7200,30149,486,541,471
7300,29977,490,534,467
7400,29950,499,541,472
7500,30089,496,547,481
7600,29837,497,550,472
7700,29994,504,546,476
7800,29752,506,547,485
7900,30039,521,565,496
8000,30052,526,560,482
8100,29462,520,556,479
8200,26999,502,534,474
8300,26943,503,541,474
8400,27191,508,537,472
8500,27117,505,539,473
8600,27100,504,547,472
8700,27134,520,546,481
8800,26930,508,550,476
8900,27023,517,545,478
9000,27027,515,546,472
9100,27138,524,546,487
9200,27228,519,557,487
9300,27031,516,548,479
9400,27142,515,553,489
9500,26862,523,551,482
9600,27121,523,564,492
9700,27004,517,552,490
9800,27123,520,554,485
9900,27224,538,558,488
10000,27015,519,554,485
